code,name,1,2,3,4,5,6,7,8,9,10,mean,sdev,type
E07000138,Lincoln,17.54,15.79,12.28,8.77,8.77,10.53,10.53,10.53,5.26,0,3.8333,2.6072,left
E07000139,North Kesteven,0,0,4.69,7.81,7.81,7.81,10.94,20.31,25,15.63,7.0156,2.0625,right
E07000140,South Holland,0,2.04,6.12,22.45,16.33,22.45,14.29,8.16,8.16,0,5.1735,1.7605,nshape
E07000141,South Kesteven,1.23,2.47,4.94,8.64,4.94,12.35,14.81,12.35,18.52,19.75,6.7099,2.3702,right
E07000142,West Lindsey,7.69,9.62,5.77,9.62,13.46,13.46,11.54,7.69,15.38,5.77,5.1923,2.6974,flat
E07000143,Breckland,1.28,7.69,11.54,6.41,24.36,23.08,11.54,10.26,3.85,0,4.8462,1.8921,nshape
E07000144,Broadland,0,0,0,4.76,11.9,14.29,16.67,17.86,21.43,13.1,6.9762,1.7526,right
E07000145,Great Yarmouth,24.59,13.11,14.75,9.84,11.48,16.39,4.92,1.64,3.28,0,3.1721,2.271,left
E07000146,King's Lynn and West Norfolk,7.87,6.74,15.73,19.1,22.47,13.48,5.62,2.25,4.49,2.25,4.0843,2.0987,nshape
E07000147,North Norfolk,0,3.23,14.52,25.81,25.81,20.97,6.45,1.61,1.61,0,4.3065,1.4123,nshape
E07000148,Norwich,20.48,19.28,9.64,18.07,2.41,7.23,3.61,7.23,3.61,8.43,3.6566,2.9196,left
E07000149,South Norfolk,0,0,0,9.88,12.35,18.52,23.46,16.05,9.88,9.88,6.4259,1.7448,right
E07000150,Corby,9.76,19.51,24.39,4.88,14.63,4.88,7.32,9.76,4.88,0,3.6707,2.4073,left
E07000151,Daventry,2.27,0,4.55,6.82,2.27,18.18,15.91,18.18,22.73,9.09,6.6591,2.1014,right
E07000152,East Northamptonshire,0,4.08,12.24,2.04,4.08,20.41,8.16,20.41,10.2,18.37,6.4184,2.431,right
E07000153,Kettering,7.02,3.51,12.28,7.02,8.77,12.28,8.77,15.79,17.54,7.02,5.6228,2.7063,flat
E07000154,Northampton,9.02,14.29,14.29,8.27,10.53,8.27,9.02,13.53,8.27,4.51,4.5677,2.7474,flat
E07000155,South Northamptonshire,0,0,0,0,1.96,3.92,11.76,19.61,21.57,41.18,8.2843,1.3163,right
E07000156,Wellingborough,6.38,14.89,12.77,14.89,2.13,4.26,21.28,10.64,6.38,6.38,4.7553,2.7542,flat
E07000163,Craven,0,6.25,0,3.13,6.25,28.13,9.38,18.75,15.63,12.5,6.5625,2.1089,right
E07000164,Hambleton,0,0,3.85,3.85,9.62,11.54,21.15,17.31,11.54,21.15,6.9615,1.965,right
E07000165,Harrogate,0.96,0,0.96,1.92,5.77,14.42,20.19,15.38,11.54,28.85,7.3365,1.8959,right
E07000166,Richmondshire,0,0,2.94,0,2.94,23.53,20.59,26.47,20.59,2.94,6.8529,1.454,right
E07000167,Ryedale,0,0,0,13.33,33.33,20,10,6.67,13.33,3.33,5.6667,1.7436,nshape
E07000168,Scarborough,12.68,15.49,9.86,12.68,18.31,7.04,8.45,9.86,4.23,1.41,3.9789,2.4661,left
E07000169,Selby,2,0,6,4,10,14,8,16,24,16,6.8,2.27,right
E07000170,Ashfield,16.22,12.16,9.46,18.92,12.16,13.51,6.76,4.05,5.41,1.35,3.7838,2.4073,left
E07000171,Bassetlaw,7.14,14.29,15.71,7.14,11.43,12.86,11.43,12.86,7.14,0,4.4286,2.4691,nshape
E07000172,Broxtowe,0,5.63,2.82,11.27,11.27,11.27,12.68,9.86,19.72,15.49,6.3873,2.4056,right
E07000173,Gedling,1.3,1.3,10.39,10.39,9.09,11.69,11.69,16.88,12.99,14.29,6.1883,2.413,right
E07000174,Mansfield,14.93,25.37,13.43,8.96,4.48,8.96,4.48,10.45,5.97,2.99,3.6642,2.7612,left
E07000175,Newark and Sherwood,4.29,10,8.57,8.57,12.86,15.71,10,14.29,7.14,8.57,5.2714,2.5773,nshape
E07000176,Rushcliffe,0,0,0,2.94,2.94,2.94,10.29,11.76,19.12,50,8.3235,1.5829,right
E07000177,Cherwell,0,6.45,4.3,6.45,7.53,11.83,21.51,11.83,20.43,9.68,6.3602,2.2679,right
E07000178,Oxford,1.2,10.84,8.43,7.23,7.23,18.07,8.43,13.25,10.84,14.46,5.7892,2.6574,flat
E07000179,South Oxfordshire,0,0,0,2.25,6.74,6.74,11.24,8.99,23.6,40.45,8.0056,1.7263,right
E07000180,Vale of White Horse,0,1.32,0,0,1.32,6.58,14.47,17.11,22.37,36.84,8.0658,1.5521,right
E07000181,West Oxfordshire,0,0,0,6.06,1.52,7.58,4.55,18.18,28.79,33.33,7.9697,1.7027,right
E07000187,Mendip,1.52,1.52,4.55,15.15,16.67,21.21,19.7,6.06,7.58,6.06,5.5455,1.9879,nshape
E07000188,Sedgemoor,5.71,12.86,4.29,15.71,12.86,12.86,15.71,12.86,1.43,5.71,4.8143,2.4409,nshape
E07000189,South Somerset,0.97,4.85,5.83,11.65,20.39,16.5,16.5,13.59,4.85,4.85,5.4223,2.0422,nshape
E07000192,Cannock Chase,3.33,11.67,16.67,8.33,16.67,10,11.67,10,8.33,3.33,4.7333,2.452,nshape
E07000193,East Staffordshire,4.17,13.89,8.33,9.72,5.56,13.89,6.94,15.28,8.33,13.89,5.4167,2.8668,flat
E07000194,Lichfield,0,3.45,5.17,1.72,10.34,12.07,13.79,20.69,13.79,18.97,6.7931,2.2005,right
E07000195,Newcastle-under-Lyme,2.5,8.75,12.5,15,7.5,13.75,12.5,8.75,13.75,5,5.1875,2.5137,nshape
E07000196,South Staffordshire,0,0,7.35,7.35,5.88,13.24,19.12,20.59,14.71,11.76,6.5882,2.0277,right
E07000197,Stafford,0,5,7.5,6.25,7.5,8.75,15,13.75,17.5,18.75,6.575,2.4483,right
E07000198,Staffordshire Moorlands,0,3.39,10.17,11.86,5.08,10.17,16.95,15.25,23.73,3.39,6.0932,2.2752,right
E07000199,Tamworth,7.84,11.76,1.96,17.65,11.76,13.73,11.76,9.8,9.8,3.92,4.8725,2.5687,nshape
E07000200,Babergh,0,0,9.26,9.26,5.56,22.22,16.67,16.67,11.11,9.26,6.1852,2.045,nshape
E07000202,Ipswich,14.12,18.82,12.94,4.71,10.59,10.59,11.76,5.88,9.41,1.18,4.0176,2.6975,left
E07000203,Mid Suffolk,0,1.79,1.79,0,10.71,28.57,17.86,16.07,12.5,10.71,6.5714,1.7669,right
E07000207,Elmbridge,0,0,1.23,4.94,1.23,8.64,3.7,9.88,19.75,50.62,8.2037,1.8333,right
E07000208,Epsom and Ewell,0,0,2.27,4.55,0,4.55,9.09,11.36,18.18,50,8.2045,1.8246,right
E07000209,Guildford,0,2.38,1.19,2.38,7.14,8.33,11.9,10.71,13.1,42.86,7.6905,2.1198,right
E07000210,Mole Valley,0,0,1.85,1.85,5.56,9.26,9.26,16.67,20.37,35.19,7.7963,1.8185,right
E07000211,Reigate and Banstead,0,1.16,3.49,6.98,5.81,9.3,11.63,13.95,22.09,25.58,7.2326,2.1553,right
